short_name,symbol,company_id,industry,sector,employees,equity_type,isin,description
Logistics Vicem JSC,HTV,958523,Air Freight & Logistics,Industrials,-,ORD,VN000000HTV5,"Logistics Vicem JSC, formerly Hatien Transport JSC, is a Vietnam-based transportation services provider. The Company provides cargo transportation to construction materials and industrial manufacturers by land and inland waterway with fleets of ferries and trucks. It also repairs and maintains transportation vehicles, as well as provides sea freight transportation services and supporting services for transportation activities including goods handling services. Other activities include the provision of warehousing services and general trading of spare parts and equipment."
"TKV Investment, Trading Services",ITS,962450,Air Freight & Logistics,Industrials,30,ORD,VN000000ITS9,"Vinacomin - Investment, Trading and Service Joint Stock Company (V - ITASCO) is a Vietnam-based trading company, with major undertaking as the commerce of diversified industrial machinery and equipment. Other regular business activities of the Company include the processing and wholesale of coal and other minerals, the manufacture and trading of heavy duty trucks and other transportation vehicles, the construction of various residential and commercial infrastructures for lease and for sale, as well as the road and water transportation of freights. Besides, the Company partakes in the leasing of general warehouses and the provision of supporting services for mining and construction projects. The Company is a member of Vietnam National Coal and Mineral Industries Holding Corporation Limited."
Tracimexco Supply Chains,TRS,995160,Air Freight & Logistics,Industrials,100,ORD,VN000000TRS0,"Tracimexco Supply Chains and Agency Services Joint Stock Company (TRA-SAS) is a Vietnam-based company, which is mainly engaged in the general trading of diversified products. The Company imports and exports groceries, such as food, beverage and tobacco, together with industrial goods, such as telecommunications devices and construction materials. Besides, the Company acts as an Importer of Record (IOR), which lends support to the water transportation of goods. Other regular business activities of the Company include the provision of logistics services and multimodal freight transportation, as well as the operation of warehouses."
Vinalink International Freight Forw,VNL,958750,Air Freight & Logistics,Industrials,284,ORD,VN000000VNL0,"Vinalink International Freight Forwarders (Vinalink) is a Vietnam-based provider of air and marine freight forwarding services. It is also engaged in the provision of multimodal freight transportation services and logistics services. The Company operates general and bonded warehouses, as well as container freight stations (CFS's) and inland clearance depots (ICD's). In addition, it acts as a ship agent and airline ticket office. Other services include cargo packing and marking services, along with express delivery services. As of December 31, 2012, the Company had three affiliates and four joint ventures. On February 6, 2013, the Company announced that it had set up a new 45%-owned affiliated company named Hung Thuan - Vinalink Joint Stock Company."
Vinafco JSC,VFC,958735,Air Freight & Logistics,Industrials,-,ORD,VN000000VFC5,"Vinafco Joint Stock Corporation is a Vietnam-based company engaged in the freight transportation industry, which establishes and manages a network of subsidiaries and branches in various regions of Vietnam, such as Vinafco Shipping Joint Stock Company, Vinafco Transportation and Services Company Limited and Vinafco Logistics Company Limited, among others. The Company and its members are involved in the provision of deep sea, coastal, inland waterway and general ground freight transportation services. In order to support the major undertaking, they also partakes in various business activities related to transportation, such as logistics service providing, office and warehouse leasing, as well as customs brokering."
Vietnam Foreign Trade,VIN,995167,Air Freight & Logistics,Industrials,-,ORD,VN000000VIN6,"Vietnam Foreign Trade Forwarding and Warehousing Joint Stock Company (VINATRANS) is a Vietnam-based company engaged in the logistics service and freight forwarding industry. The Company's primary activities include multi-modal transportation, shipping agent services, warehousing services, and other logistics services. The Company's subsidiary is Vina Vinatrans Trucking Co Ltd. The Company's head office is located in Hochiminh City."
Sea & Air Freight International,SFI,958653,Air Freight & Logistics,Industrials,-,ORD,VN000000SFI8,"Sea & Air Freight International (SAFI) is a Vietnam-based company engaged in the transportation industry. The Company offers air freight and sea freight transportation services, road and inland water transportation services, as well as freight forwarding, logistics and vessel brokerage and agency services. It is also involved in supporting activities for transportation, such as vessel supply services, cargo handling services, express delivery services and packing and crating services. Other activities include the provision of warehousing services, container trading and office leasing."
VAN CARGOES,VNT,42287,Air Freight & Logistics,Industrials,110,ORD,VN000000VNT3,"The Van Cargoes and Foreign Trade Logistics Joint Stock Company, formerly The Foreign Trade Forwarding and Transportation Joint Stock Company (Vinatrans Hanoi), is a Vietnam-based company engaged in the transportation industry. It provides freight forwarding and logistics services. The Company is also engaged in the provision of air freight, sea freight and multimodal transportation services. In addition, it offers warehousing services, ship brokerage services, cargo handling services and customs brokerage services. Moreover, it is active in the provision of event organizing services, including exhibitions, conferences and meetings; supermarket and shopping center services. As of December 31, 2011, it had one wholly owned subsidiary. Effective May 29, 2013, the Company has changed its name to The Van Cargoes and Foreign Trade Logistics Joint Stock Company from The Foreign Trade Forwarding and Transportation Joint Stock Company."
Saigon Transport Agency,STS,998143,Air Freight & Logistics,Industrials,-,ORD,VN000000STS8,"Sai Gon Transport Agency Joint-Stock Company (Tranaco) is a Vietnam-based company, with major undertakings as the operation of marine port and the provision of multimodal transportation services. The Company partakes in the management of Tan Thuan Dong port located in district 7, Ho Chi Minh city, and its regular business activities include marine cargo handling, vessel towing, ship navigating and warehouse operating. Besides, Tranaco is engaged in the ground and marine transportation of heavy goods, as well as the leasing of commercial real estate properties."
VINAFREIGHT,VNF,42284,Air Freight & Logistics,Industrials,133,ORD,VN000000VNF2,"VINAFREIGHT Joint Stock Company, formerly Vinafreight International Freight Forwarders Joint Stock Company, is a Vietnam-based company active in the transportation industry. The Company is engaged in the provision of air freight services and freight forwarding services, along with marine transportation services and supporting services. It also offers marine insurance brokerage services, logistics services and ship agency and brokerage services. In addition, the Company provides general and refrigerated warehousing services, as well as operates Container Freight Stations (CFS)."
