name,currId,short_name,avg_volume,market_cap,revenue,p_e_ratio,beta,smlId
An Phat Plastic and Green Environment JSC,41912,An Phat Plastic and Green,6.64M,5.35T,"9,593.98B",12.37,0.87,"('624',)"
Asia Commercial Bank,41913,ACB,5.26M,87.81T,"20,213.56B",9.06,1.09,"('624',)"
ADC,41914,ADC,0.59K,93.48B,325.49B,12.98,0.59,"('624',)"
Tan Binh Culture Co.,41915,Tan Binh Culture Co.,7.91K,100.39B,216.66B,11.14,-0.48,"('624',)"
VAM,41916,VAM,"77,289.23",43.57B,,,0.17,"('624',)"
Asia Mineral,41917,Asia Mineral,8.45K,71.82B,170.72B,9.44,0.32,"('624',)"
Alphanam M&E,41918,Alphanam M&E,4.86K,289.80B,"1,819.53B",9.79,1.29,"('624',)"
American Vietnamese Biotech Inc,41919,American Vietnamese Biotech,2.46M,1.19T,172.43B,17.29,1.17,"('624',)"
APG Securities Joint Stock Co,41920,APG Securities Joint Stock,2.90M,770.92B,124.58B,14.08,0.45,"('624',)"
Asia Pacific Investment JSC,41921,Asia Pacific Investment JSC,426.01K,2.69T,770.63B,32.39,1.18,"('624',)"
APP,41922,APP,40.26K,54.33B,206.47B,14.91,0.14,"('624',)"
Asia Pacific Securities JSC,41923,Asia Pacific Securities JSC,3.13M,3.23T,251.79B,9.84,0.94,"('624',)"
General Aviation Import Export JSC,41924,General Aviation Import Export JSC,2.69K,155.56B,176.18B,40.69,2.24,"('624',)"
ASA Consumer Product JSC,41925,WMT Sana Joint,"159,542.08",99.00B,145.91B,131.58,0.75,"('624',)"
JSC No 482,41926,JSC No 482,"437,877.69",12.00B,,19.14,1.23,"('624',)"
But Son Cement Packing JSC,41927,But Son Cement Packing JSC,2.80K,72.60B,478.81B,11.2,-0.22,"('624',)"
Bim Son Cement JSC,41928,Bim Son Cement JSC,1.84M,3.08T,"4,237.25B",19.33,1.24,"('624',)"
Binh Dinh Book and Equipment JSC,41929,Binh Dinh Book and Equipment JSC,0.74K,14.42B,54.33B,14.88,,"('624',)"
