date,price,open_price,high,low,vol,change,currId
1640563200,"21,700.0","20,600.0","22,250.0","20,600.0",5860600,1.64%,41912
1640304000,"21,350.0","21,500.0","22,200.0","20,950.0",10541100,-0.23%,41912
1640217600,"21,400.0","20,000.0","21,400.0","19,500.0",18312800,7.00%,41912
1640131200,"20,000.0","20,000.0","20,600.0","19,700.0",11386100,3.36%,41912
1640044800,"19,350.0","18,000.0","19,350.0","17,600.0",15444900,6.91%,41912
1639958400,"18,100.0","18,500.0","18,700.0","17,900.0",7088500,-2.69%,41912
1639699200,"18,600.0","18,750.0","19,200.0","18,500.0",6935400,-0.53%,41912
1639612800,"18,700.0","18,400.0","19,200.0","18,100.0",9366900,1.08%,41912
1640304000,"7,900","8,000","8,000","7,400",93736,5.33%,41916
1639699200,"7,500","8,400","8,400","7,200",168900,-7.41%,41916
1639526400,"18,500.0","18,400.0","19,300.0","18,400.0",12036100,0.82%,41912
1639440000,"18,350.0","17,750.0","18,500.0","17,400.0",10845800,3.97%,41912
1639353600,"17,650.0","17,300.0","17,800.0","17,100.0",8393300,3.82%,41912
1639094400,"17,000.0","16,800.0","17,150.0","16,750.0",3543500,1.19%,41912
1639008000,"16,800.0","16,550.0","17,000.0","16,550.0",2235200,1.20%,41912
1638921600,"16,600.0","16,750.0","17,000.0","16,550.0",3454600,0.30%,41912
1638835200,"16,550.0","16,400.0","16,700.0","16,300.0",3526300,1.85%,41912
1638748800,"16,250.0","16,900.0","17,050.0","15,950.0",7035200,-3.85%,41912
1639094400,"8,100","8,800","8,800","7,400",275900,5.19%,41916
1638489600,"7,700","7,700","7,700","7,700",63332,14.93%,41916
1637884800,"6,700","6,700","6,700","6,700",26148,13.56%,41916
1637280000,"5,900","5,900","5,900","5,900",104800,13.46%,41916
1636675200,"5,200","5,000","5,200","5,000",31511,10.64%,41916
1636070400,"4,700","4,700","4,700","4,200",130202,6.82%,41916
1635465600,"4,400","3,800","4,400","3,600",275279,12.82%,41916
1634860800,"3,900","3,600","4,000","3,600",67500,8.33%,41916
1634256000,"3,600","3,400","3,600","3,300",65225,9.09%,41916
1640563200,"19,700.0","20,000.0","20,000.0","19,700.0",6200,-1.99%,41915
